"More details about mitigations for the CPU Speculative Execution issue","https://security.googleblog.com/2018/01/more-details-about-mitigations-for-cpu_4.html","2 hours ago"
"Intel Issues Updates to Protect Systems from Security Exploits","https://newsroom.intel.com/news-releases/intel-issues-updates-protect-systems-security-exploits/","5 hours ago"
"Productivity in 2017: analyzing 225 million hours of work time","http://blog.rescuetime.com/225-million-hours-productivity/","2 hours ago"
"iMac Pro's T2 chip","https://www.macworld.com/article/3245764/macs/the-t2-chip-makes-the-imac-pro-the-start-of-a-mac-revolution.html","7 hours ago"
"Xerox Alto zero-day: cracking disk password protection on a 45 year old system","http://www.righto.com/2018/01/xerox-alto-zero-day-cracking-disk.html","3 hours ago"
"Ink/stitch: an Inkscape extension for machine embroidery design","http://inkstitch.org/","1 hour ago"
"Show HN: PAST, a secure alternative to JWT","https://github.com/paragonie/past","8 hours ago"
"Reading privileged memory with a side-channel","https://googleprojectzero.blogspot.com/2018/01/reading-privileged-memory-with-side.html","1 day ago"
"More housing near the Expo Line and other California transit stations","http://www.latimes.com/politics/la-pol-ca-housing-transit-bill-20180104-story.html","3 hours ago"
"Introducing Preemptible GPUs","https://cloudplatform.googleblog.com/2018/01/introducing-preemptible-gpus-50-off.html","8 hours ago"
"XPS 13 developer edition 7th generation available","https://bartongeorge.io/2018/01/04/xps-13-developer-edition-the-7th-gen-is-here/","3 hours ago"
"How and why we teach non-engineers to use GitHub at Thread","https://thread.engineering/teaching-non-engineers-how-to-contribute-code-2e85411ab464","5 hours ago"
"Algorithm efficiency comes from problem information","http://www.stochasticlifestyle.com/algorithm-efficiency-comes-problem-information/","2 hours ago"
"Environmental Heresies (2006)","https://www.technologyreview.com/s/405360/environmental-heresies/","2 hours ago"
"Ubiq (YC S17) Is Hiring a Full-Stack Developer – Build the Evolution of Meetings","https://news.ycombinator.com/item?id=16074359","1 hour ago"
"How a researcher hacked his own computer and found 'worst' chip flaw","https://www.reuters.com/article/us-cyber-intel-researcher/how-a-researcher-hacked-his-own-computer-and-found-worst-chip-flaw-idUSKBN1ET1ZR","3 hours ago"
"Wi-Fi startup Eero lays off 30 employees","https://techcrunch.com/2018/01/03/wi-fi-startup-eero-lays-off-30-employees/","2 hours ago"
"GitHub acquires AppCanary","https://blog.appcanary.com/2018/goodbye.html","7 hours ago"
"How an A.I. ‘Cat-And-Mouse Game’ Generates Believable Fake Photos","https://www.nytimes.com/interactive/2018/01/02/technology/ai-generated-photos.html?_r=0","8 hours ago"
"Substrate VM – A framework that allows AOT compilation of Java applications","https://github.com/graalvm/graal/tree/master/substratevm","9 hours ago"
"Announcing Rust 1.23","https://blog.rust-lang.org/2018/01/04/Rust-1.23.html","6 hours ago"
"You’re Descended from Royalty and So Is Everybody Else","http://nautil.us/issue/56/perspective/youre-descended-from-royalty-and-so-is-everybody-else","11 hours ago"
"LLVM patch to fix half of Spectre attack","https://reviews.llvm.org/D41723","9 hours ago"
"Microprocessor Design (2017)","https://en.wikibooks.org/wiki/Microprocessor_Design","11 hours ago"
"Zhaoxin's x86 CPUs","http://en.zhaoxin.com/solution.aspx?id=3","9 hours ago"
"x86/doc: add PTI description","https://lkml.org/lkml/2018/1/4/775","1 hour ago"
"CPU hardware vulnerable to side-channel attacks","https://www.kb.cert.org/vuls/id/584653","7 hours ago"
"Docker for data scientists: Introduction and use cases","https://unsupervisedpandas.com/data-science/docker-for-data-science/","6 hours ago"
"Hacking WiFi to inject cryptocurrency miner to HTML requests (CoffeeMiner)","http://arnaucode.com/blog/coffeeminer-hacking-wifi-cryptocurrency-miner.html","12 hours ago"
"Alan Turing’s “Can Computers Think?” Radio Broadcasts Re-Recorded","http://aperiodical.com/2018/01/ive-re-recorded-alan-turings-can-computers-think-radio-broadcasts/","12 hours ago"
